name,description,lat,lng
Start,,35.7066344,139.6838129
Higashi-Nakano Sta.,"<img src=""https://lh5.googleusercontent.com/Z6Jv5RO5l0q2vY2Zs06fsUNvGQQEofsLFlCxW2qP6xoTw5lUzUd7hb6NFnLlwWTuMEtPEnsF68hP801j8Q9KAnpYEGClWWR3T_6YEUHH6serdNGUo8oB_HJE83l0TqQ"" height=""200"" width=""auto"" /><br><br>",35.7062206,139.6838397
kamitakadadai park,"<img src=""https://lh4.googleusercontent.com/IRPxOr8Tr1cwldYHNHXtVmWgdUTJrIKnu7OCnEbgHscmVwrY-GZlByw6_UY5WNeoL25k_QeKhZu6HUDrqWNLPAkNZ706yf96snjdJDZRwFIrTH5ktL6MLC1vcmO3VDA_"" height=""200"" width=""auto"" /><br><br>ターザンロープのついた大きな木製遊具のある広場があります。This park has an open area and large wooden playground equipment with a Tarzan rope.",35.7132727,139.6784645
Birthplace of “Takibi no uta” (Bonfire Song),"In 3-chome of Kamitakada on the south side of Araiyakushi-mae Station, which is on the Seibu Railway Shinjuku Line, there is a residence with a long bamboo fence that stands out. This area is the birthplace of “Takibi no uta” (Bonfire Song) and the verse “kakineno kakineno magarikado” remains as it was when the song was written. It is believed that the writer of the song, Seika Tatsumi, was walking in the neighborhood while he wrote the song.",35.7141536,139.6744412
Sakuragaike Fudoson Temple,This temple has lovingly protected the villagers with its spring water and guardian diety Acala since ancient times.,35.7147906,139.6771047
Toko Temple,A temple that is believed to be built at the beginning of the Edo period as a family temple for  Kamitakada farmers.,35.7174322,139.6765387
Araiyakushi-mae Sta,"<img src=""https://lh4.googleusercontent.com/A_kq-8RqE0d6_BzmyUYzs8pF_AHzLfAeX9vzm4uhTSVdJs2Jvwdz3YcPQhQqfQZw0glObAAUAjr2GKLI0jDBVUD42UbKSaxDMwTR7nrFtUERbSmMgHM_bJlHmDgb-Lw"" height=""200"" width=""auto"" /><br><br>",35.7158141,139.6725449
Goal,,35.7162257,139.6713808
Seigen Temple  Tombstone of Kanko Akera,,35.7095739,139.6803941
Gentsu Temple　Tombstone of Mokuami Kawatake,,35.7090439,139.6799238
Kotoku Temple　Tombstone of Hakuseki Arai,,35.7088982,139.6794157
Shogen Temple,,35.7085878,139.6778914
Sosei Temple,,35.7085595,139.6773338
Hozen Temple,,35.7086868,139.6768521
Ryusho Temple,,35.7078766,139.6774353
Kyomyo Temple,,35.712207,139.679645
Kamitakada Hikawa Shrine,,35.714954,139.676304
Yakushi-no-Oban,"Opened 33 years ago at the front of Araiyakushi-mae Station, the most popular ramen here is “kote maru”. It has a rich flavor but a refreshing aftertaste and the noodles are of medium thickness.",35.715826,139.671573
Kakimochi-dokoro Hayashiya,"Founded 70 years ago, its popular “kaki no tane” has a characteristic texture and aftertaste. With a mild spiciness, it’s so delicious you’ll never forget it once you’ve had it.",35.7064284,139.6825334
Aoyama Park,https://www.tokyo-park.or.jp/park/format/index080.html,35.669221,139.71899
Akatsuka Park,https://www.tokyo-park.or.jp/park/format/index005.html,35.785082,139.656443
Akirudai Park,https://www.tokyo-park.or.jp/park/format/index053.html,35.729277,139.300309
Inokashira Park,http://www.kensetsu.metro.tokyo.jp/jimusho/seibuk/inokashira/index.html,35.700663,139.574548
Inokashira Park Zoo,http://www.tokyo-zoo.net/zoo/ino/<br>入園料がかかります,35.701161,139.57114
Ueno Park,http://www.kensetsu.metro.tokyo.jp/jimusho/toubuk/ueno/index_top.html,35.715347,139.773991
Ukita Park,http://tokyo-eastpark.com/ukita/,35.67443,139.860596
Ukima Park,https://www.tokyo-park.or.jp/park/format/index009.html,35.794825,139.692881
Oizumi-Chuo Park,https://www.tokyo-park.or.jp/park/format/index011.html,35.774616,139.597727
Ogamiyama Park,https://www.tokyo-park.or.jp/park/format/index097.html,27.093996,142.192476
Ojima Komatsugawa Park,http://tokyo-eastpark.com/ohjima/,35.692631,139.850121
Oto Park,https://tamaparks.com/oto/,35.615931,139.284962
